room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
6910758,30920210,Shared room,South of Market,186,5.0,2,1.0,130.0
815711,2430013,Shared room,Outer Richmond,3,5.0,1,1.0,100.0
9529057,5181498,Shared room,Inner Sunset,0,0.0,1,1.0,105.0
7419076,38863639,Shared room,Diamond Heights,0,0.0,1,1.0,120.0
18794629,117141107,Shared room,Haight Ashbury,3,5.0,3,1.0,115.0
14610133,69716994,Shared room,Chinatown,5,5.0,1,1.0,80.0
11297447,22931450,Shared room,North Beach,45,5.0,2,1.0,80.0
8598745,45251621,Shared room,Nob Hill,0,0.0,1,1.0,85.0
8135263,4804748,Shared room,Outer Richmond,0,0.0,1,1.0,100.0
11638464,61691252,Shared room,Nob Hill,1,0.0,1,1.0,100.0
16464767,2750828,Shared room,Mission,1,0.0,1,1.0,99.0
11528376,14488206,Shared room,Mission,0,0.0,1,1.0,100.0
8504147,28304379,Shared room,Mission,0,0.0,2,1.0,100.0
8037572,6990092,Shared room,Western Addition,87,4.5,2,1.0,81.0
19716643,51050875,Shared room,South of Market,0,0.0,1,1.0,99.0
7181819,17018982,Shared room,North Beach,36,4.5,1,1.0,90.0
12205354,65392037,Shared room,South of Market,82,4.5,2,1.0,89.0
18976753,6983558,Shared room,South of Market,9,5.0,2,1.0,100.0
16606328,4582815,Shared room,Financial District,26,4.5,2,1.0,85.0
18361820,1377490,Shared room,South of Market,0,0.0,1,1.0,80.0
8256165,18682626,Shared room,South of Market,0,0.0,1,1.0,70.0
13191340,10623716,Shared room,South of Market,1,0.0,1,1.0,80.0
14040855,84133769,Shared room,South of Market,9,5.0,1,1.0,69.0
19104498,18685185,Shared room,Western Addition,0,0.0,1,1.0,80.0
7844269,41334972,Shared room,Mission,0,0.0,1,1.0,75.0
3139003,15694468,Shared room,Mission,0,0.0,1,1.0,75.0
1566931,916362,Shared room,Marina,22,5.0,1,1.0,75.0
7807401,22053410,Shared room,Inner Richmond,0,0.0,1,1.0,75.0
12270642,22931450,Shared room,North Beach,29,4.5,2,1.0,80.0
17894683,12883461,Shared room,North Beach,0,0.0,1,1.0,70.0
6433637,3673651,Shared room,Mission,3,4.5,1,1.0,75.0
8377605,9744251,Shared room,Western Addition,8,4.5,14,1.0,69.0
8277136,7386041,Shared room,South of Market,1,0.0,1,1.0,72.0
14383718,69249358,Shared room,Western Addition,3,5.0,1,1.0,75.0
7902889,4261846,Shared room,South of Market,104,5.0,1,1.0,75.0
12857179,329072,Shared room,Financial District,17,4.5,4,1.0,45.0
786492,329072,Shared room,Financial District,76,4.5,4,1.0,45.0
10070717,51673718,Shared room,Visitacion Valley,20,4.5,1,1.0,45.0
229240,329072,Shared room,Financial District,204,4.5,4,1.0,45.0
12853799,329072,Shared room,Financial District,25,4.5,4,1.0,45.0
12857011,329072,Shared room,Financial District,13,4.5,4,1.0,45.0
12857087,329072,Shared room,Financial District,14,4.5,4,1.0,45.0
4464347,22931450,Shared room,North Beach,164,4.5,4,1.0,42.0
10070425,51673718,Shared room,Visitacion Valley,23,4.5,1,1.0,45.0
241235,329072,Shared room,Financial District,199,4.5,4,1.0,45.0
5196399,23278,Shared room,Mission,128,5.0,1,1.0,49.0
4890230,22931450,Shared room,North Beach,105,4.5,4,1.0,47.0
10070413,51673718,Shared room,Visitacion Valley,15,4.5,1,1.0,45.0
15009918,5215966,Shared room,Outer Sunset,14,4.5,1,1.0,45.0
72444,329072,Shared room,Financial District,198,4.5,4,1.0,45.0
4519780,22931450,Shared room,North Beach,130,4.5,4,1.0,43.0
8763366,23278,Shared room,Mission,87,5.0,1,1.0,49.0
12274606,3838854,Shared room,Western Addition,0,0.0,1,1.0,60.0
12253023,5164455,Shared room,Pacific Heights,0,0.0,1,1.0,60.0
14011529,61907533,Shared room,Mission,1,0.0,2,1.0,50.0
17846929,21697127,Shared room,South of Market,1,0.0,4,1.0,55.0
7746463,5697150,Shared room,Mission,3,5.0,1,1.0,49.0
10888070,28976328,Shared room,Downtown/Civic Center,4,5.0,1,1.0,60.0
17371171,36997746,Shared room,Outer Sunset,9,5.0,1,1.0,52.0
6822747,2711732,Shared room,Castro/Upper Market,71,5.0,2,1.0,55.0
15204367,5215966,Shared room,Outer Sunset,36,5.0,1,1.0,47.0
10491563,48920457,Shared room,Financial District,5,5.0,1,1.0,42.0
259621,329072,Shared room,Financial District,98,4.5,4,1.0,45.0
18567322,128905277,Shared room,South of Market,0,0.0,1,1.0,50.0
18737881,130035283,Shared room,Haight Ashbury,0,0.0,1,1.0,45.0
13342697,11078389,Shared room,South of Market,0,0.0,1,1.0,50.0
19644702,9231945,Shared room,Downtown/Civic Center,0,0.0,2,1.0,54.0
19034252,119355432,Shared room,South of Market,0,0.0,1,1.0,50.0
19034998,43831356,Shared room,Bayview,3,5.0,1,1.0,45.0
10070760,51673718,Shared room,Visitacion Valley,33,4.5,1,1.0,45.0
17478285,40297300,Shared room,Bayview,31,5.0,2,1.0,59.0
15422181,21430100,Shared room,Inner Sunset,67,4.5,1,1.0,50.0
70753,329072,Shared room,Financial District,226,4.5,4,1.0,45.0
19548605,120736581,Shared room,Lakeshore,1,0.0,1,1.0,50.0
17543814,36997746,Shared room,Outer Sunset,21,4.5,1,1.0,42.0
4902444,22931450,Shared room,North Beach,94,4.5,4,1.0,43.0
15828423,5215966,Shared room,Outer Sunset,29,5.0,1,1.0,47.0
8763407,23278,Shared room,Mission,96,5.0,1,1.0,49.0
19511968,71911209,Shared room,Western Addition,2,0.0,1,1.0,53.0
1408281,1753794,Shared room,Castro/Upper Market,257,5.0,1,1.0,51.0
435390,576273,Shared room,Chinatown,6,5.0,1,1.0,29.0
435391,576273,Shared room,Chinatown,5,5.0,1,1.0,29.0
15253799,33663709,Shared room,Financial District,0,0.0,1,1.0,34.0
14756524,26647424,Shared room,Mission,0,0.0,1,1.0,34.0
435389,576273,Shared room,Chinatown,5,5.0,1,1.0,29.0
19057720,8121021,Shared room,Downtown/Civic Center,1,0.0,1,1.0,28.0
18020492,123914250,Shared room,Chinatown,0,0.0,1,1.0,25.0
12525238,66654641,Shared room,Ocean View,15,5.0,1,1.0,40.0
18327502,125928830,Shared room,South of Market,0,0.0,1,1.0,21.0
7856089,7405062,Shared room,South of Market,0,0.0,1,1.0,38.0
16182225,85575849,Shared room,Inner Richmond,2,0.0,2,1.0,38.0
11037074,16256090,Shared room,Western Addition,0,0.0,1,1.0,25.0
13636310,33663709,Shared room,Financial District,0,0.0,1,1.0,10.0
16125990,81226014,Shared room,Outer Sunset,0,0.0,1,1.0,35.0
18428776,633828,Shared room,Crocker Amazon,0,0.0,1,1.0,28.0
19781990,22600491,Shared room,South of Market,0,0.0,1,1.0,40.0
16207317,17216757,Shared room,Potrero Hill,1,0.0,2,1.0,40.0
15758145,99127447,Shared room,Lakeshore,2,0.0,1,1.0,26.0
16288478,3485414,Shared room,South of Market,12,4.5,1,1.0,40.0
15633281,38163072,Shared room,Ocean View,23,5.0,2,1.0,34.0
10852302,56210205,Entire home/apt,Mission,0,0.0,6,3.0,1666.0
10547198,54392336,Entire home/apt,Excelsior,0,0.0,8,3.0,2000.0
10929043,56657066,Entire home/apt,South of Market,0,0.0,4,2.0,2500.0
18510813,118412894,Entire home/apt,Western Addition,0,0.0,16,4.0,1500.0
7840921,1395956,Entire home/apt,Marina,1,0.0,6,3.0,1500.0
10840730,3178015,Entire home/apt,Chinatown,0,0.0,12,5.0,1500.0
4163944,21580461,Entire home/apt,Noe Valley,0,0.0,4,3.0,750.0
747416,3923476,Entire home/apt,Nob Hill,6,5.0,6,2.0,750.0
10998170,51669196,Entire home/apt,Western Addition,0,0.0,8,3.0,850.0
879326,147086,Entire home/apt,Potrero Hill,1,0.0,6,3.0,700.0
12134687,29543681,Entire home/apt,South of Market,0,0.0,6,2.0,575.0
5945812,30857973,Entire home/apt,Financial District,2,0.0,4,1.0,675.0
1082423,5951946,Entire home/apt,North Beach,8,4.5,5,3.0,600.0
13357698,2645901,Entire home/apt,West of Twin Peaks,3,5.0,10,4.0,700.0
753761,109198,Entire home/apt,Castro/Upper Market,0,0.0,5,3.0,170.0
16439853,71758484,Entire home/apt,Presidio Heights,1,0.0,4,2.0,115.0
15579683,60085031,Entire home/apt,Downtown/Civic Center,1,0.0,4,1.0,99.0
935967,5050189,Entire home/apt,Potrero Hill,0,0.0,5,2.0,2000.0
11064385,16434392,Entire home/apt,Pacific Heights,0,0.0,7,3.0,3350.0
10926089,56640408,Entire home/apt,Pacific Heights,0,0.0,5,4.0,5000.0
10830493,56081126,Entire home/apt,Russian Hill,0,0.0,8,5.0,4000.0
10724176,50611045,Entire home/apt,South of Market,0,0.0,3,3.0,10000.0
1332629,554741,Entire home/apt,Noe Valley,2,0.0,5,2.0,2000.0
14294426,1407120,Entire home/apt,Castro/Upper Market,6,5.0,8,4.0,1100.0
10636207,54910901,Entire home/apt,Nob Hill,0,0.0,3,1.0,1100.0
10700563,55277390,Entire home/apt,South of Market,0,0.0,8,3.0,1200.0
10489285,53737802,Entire home/apt,Noe Valley,0,0.0,6,3.0,1270.0
19593038,930744,Entire home/apt,Marina,0,0.0,8,4.0,1200.0
10931258,56672361,Entire home/apt,South of Market,0,0.0,3,1.0,1450.0
10527674,7632358,Entire home/apt,Western Addition,2,0.0,5,3.0,1250.0
8864274,46398210,Entire home/apt,Pacific Heights,11,5.0,10,6.0,1200.0
10789800,11111263,Entire home/apt,Downtown/Civic Center,0,0.0,4,2.0,900.0
10731420,55469536,Entire home/apt,Marina,0,0.0,6,3.0,750.0
10801460,3812152,Entire home/apt,Haight Ashbury,0,0.0,6,2.0,800.0
4296407,15782829,Entire home/apt,Pacific Heights,0,0.0,3,1.0,1000.0
10678838,55160681,Entire home/apt,Marina,0,0.0,4,2.0,1000.0
11950735,16712281,Entire home/apt,Inner Richmond,0,0.0,5,4.0,900.0
9726878,7214751,Entire home/apt,Mission,0,0.0,6,3.0,800.0
10910661,22339072,Entire home/apt,Lakeshore,0,0.0,10,3.0,800.0
13746665,2715809,Entire home/apt,Haight Ashbury,1,0.0,7,4.0,750.0
891728,4737757,Entire home/apt,Castro/Upper Market,1,0.0,8,4.0,750.0
10883271,3404624,Entire home/apt,Pacific Heights,0,0.0,5,2.0,800.0
10754525,55611060,Entire home/apt,Inner Richmond,0,0.0,4,2.0,800.0
10996605,32444587,Entire home/apt,Inner Richmond,0,0.0,4,2.0,1000.0
8306923,43584395,Entire home/apt,Potrero Hill,0,0.0,4,1.0,855.0
231129,1208533,Entire home/apt,Nob Hill,50,4.5,9,4.0,995.0
4418675,22457660,Entire home/apt,Castro/Upper Market,17,5.0,11,5.0,850.0
5190694,65621,Entire home/apt,Potrero Hill,0,0.0,4,2.0,950.0
10255048,52721270,Entire home/apt,Outer Richmond,0,0.0,4,2.0,975.0
10929929,12447246,Entire home/apt,Potrero Hill,0,0.0,2,1.0,900.0
19625051,138051904,Entire home/apt,Presidio Heights,0,0.0,7,4.0,855.0
11435584,60086345,Entire home/apt,Pacific Heights,1,0.0,6,3.0,985.0
657121,3311246,Entire home/apt,North Beach,52,5.0,6,3.0,799.0
915058,3608449,Entire home/apt,Bernal Heights,10,5.0,10,4.0,800.0
7343245,5694640,Entire home/apt,Western Addition,47,5.0,8,4.0,800.0
19268036,1329108,Entire home/apt,Twin Peaks,0,0.0,6,2.0,720.0
251792,1320750,Entire home/apt,Outer Sunset,3,5.0,8,3.0,595.0
3369099,3851160,Entire home/apt,Western Addition,0,0.0,5,2.0,600.0
3345110,401712,Entire home/apt,Presidio Heights,2,0.0,6,3.0,250.0
9316584,85132,Entire home/apt,Chinatown,0,0.0,2,0.0,285.0
8556635,45040916,Entire home/apt,Bernal Heights,6,4.0,3,3.0,196.0
273452,1430537,Entire home/apt,Mission,5,5.0,3,2.0,189.0
2042534,10474318,Entire home/apt,Lakeshore,1,0.0,2,0.0,145.0
929796,5006769,Entire home/apt,Seacliff,3,4.0,2,1.0,150.0
4297642,2530108,Entire home/apt,Western Addition,6,5.0,2,0.0,144.0
2944266,11701903,Entire home/apt,Mission,0,0.0,4,2.0,175.0
33316,144400,Entire home/apt,Russian Hill,0,0.0,4,1.0,150.0
3186641,16111825,Entire home/apt,Pacific Heights,23,4.5,2,1.0,165.0
10439036,4385059,Entire home/apt,Chinatown,1,0.0,4,1.0,179.0
18993777,15784190,Entire home/apt,Downtown/Civic Center,1,0.0,2,0.0,145.0
13226259,10595328,Entire home/apt,Chinatown,0,0.0,2,0.0,129.0
581592,2863391,Entire home/apt,Western Addition,24,4.5,2,1.0,140.0
889175,4795882,Entire home/apt,Inner Richmond,44,4.5,2,1.0,140.0
846294,3160637,Entire home/apt,Western Addition,4,4.5,4,2.0,122.0
9128820,47552468,Entire home/apt,South of Market,3,4.0,2,0.0,125.0
808660,1607501,Entire home/apt,Western Addition,202,4.5,2,1.0,122.0
15236335,24973603,Entire home/apt,Crocker Amazon,32,5.0,3,1.0,135.0
2017079,10373486,Entire home/apt,Inner Sunset,3,3.5,2,1.0,115.0
6835097,35810996,Entire home/apt,Mission,6,5.0,4,2.0,114.0
6885816,9132615,Entire home/apt,Nob Hill,5,5.0,2,0.0,110.0
11496841,60543430,Entire home/apt,Mission,6,4.5,2,0.0,108.0
7734510,40648590,Entire home/apt,Western Addition,4,5.0,2,0.0,115.0
18507365,3866027,Entire home/apt,Mission,0,0.0,4,0.0,118.0
9313952,48344692,Entire home/apt,Inner Richmond,129,4.5,3,1.0,101.0
4388398,22783636,Entire home/apt,Glen Park,1,0.0,3,1.0,98.0
66664,252184,Entire home/apt,Inner Sunset,44,4.0,3,1.0,97.0
7677381,322410,Entire home/apt,North Beach,0,0.0,2,0.0,98.0
1714155,8575784,Entire home/apt,Western Addition,10,4.5,2,1.0,92.0
18947485,10417713,Entire home/apt,South of Market,3,3.0,3,0.0,89.0
12953936,55203547,Entire home/apt,Twin Peaks,1,0.0,2,1.0,100.0
16721946,110839823,Entire home/apt,Ocean View,10,4.5,6,2.0,97.0
16134665,105253716,Entire home/apt,Western Addition,0,0.0,4,0.0,94.0
18475771,4197199,Entire home/apt,South of Market,1,0.0,2,0.0,85.0
19098757,12999126,Entire home/apt,South of Market,0,0.0,2,1.0,95.0
14732134,7420139,Entire home/apt,Mission,4,5.0,2,0.0,99.0
7952959,11597958,Entire home/apt,Downtown/Civic Center,11,4.5,2,0.0,88.0
9345625,3940350,Entire home/apt,Twin Peaks,1,0.0,2,1.0,90.0
12110830,64946886,Entire home/apt,Bayview,32,4.5,3,1.0,90.0
13477247,76462548,Entire home/apt,Lakeshore,5,4.0,2,0.0,85.0
14342450,1094844,Entire home/apt,Mission,38,5.0,2,0.0,95.0
10835440,5309996,Entire home/apt,Bernal Heights,28,5.0,2,1.0,95.0
18720933,124928168,Entire home/apt,Inner Sunset,1,0.0,2,1.0,87.0
13315189,906727,Entire home/apt,Inner Richmond,17,5.0,2,2.0,90.0
19415234,60056468,Entire home/apt,Lakeshore,0,0.0,2,0.0,89.0
1967457,4318558,Entire home/apt,Bernal Heights,33,5.0,2,1.0,97.0
17340703,66385869,Entire home/apt,Outer Richmond,8,5.0,8,1.0,97.0
17807120,1965033,Entire home/apt,Crocker Amazon,5,5.0,4,1.0,100.0
19591874,39306567,Entire home/apt,Outer Sunset,0,0.0,2,0.0,81.0
16829186,1829581,Entire home/apt,Treasure Island/YBI,2,0.0,2,0.0,79.0
12762625,638933,Entire home/apt,Western Addition,0,0.0,3,1.0,75.0
1404326,9058391,Entire home/apt,Bernal Heights,80,4.5,2,0.0,80.0
7828473,26566788,Entire home/apt,Excelsior,77,4.5,2,1.0,63.0
7227605,9909723,Entire home/apt,Pacific Heights,23,5.0,5,3.0,850.0
10633898,54894773,Entire home/apt,Outer Sunset,1,0.0,5,4.0,950.0
13563865,78172368,Entire home/apt,Inner Richmond,4,4.5,10,4.0,725.0
19159329,23384189,Shared room,Mission,0,0.0,1,1.0,31.0
18023058,123914250,Shared room,Chinatown,0,0.0,1,1.0,25.0
12360351,66654641,Shared room,Ocean View,21,4.5,1,1.0,40.0
16098282,38163072,Shared room,Ocean View,23,4.5,1,1.0,37.0
18061759,1704084,Shared room,South of Market,2,0.0,1,1.0,25.0
19489396,128792124,Shared room,Outer Richmond,0,0.0,1,1.0,30.0
7715861,30857973,Entire home/apt,Financial District,1,0.0,6,2.0,825.0
13018401,64086645,Entire home/apt,Downtown/Civic Center,0,0.0,6,3.0,525.0
8128524,42922912,Entire home/apt,Noe Valley,0,0.0,5,3.0,2800.0
8935756,4060781,Entire home/apt,Western Addition,0,0.0,4,2.0,800.0
5944989,30857973,Entire home/apt,Financial District,4,5.0,6,2.0,825.0
10788165,36312066,Entire home/apt,Outer Richmond,0,0.0,8,4.0,900.0
15363297,35020320,Entire home/apt,North Beach,48,5.0,8,2.0,295.0
14475808,86027378,Entire home/apt,Excelsior,63,4.5,4,1.0,129.0
1335204,7240090,Entire home/apt,Haight Ashbury,4,5.0,4,1.0,95.0
6545449,14274608,Entire home/apt,Castro/Upper Market,12,5.0,12,4.0,800.0
16333422,2671534,Entire home/apt,Nob Hill,0,0.0,6,3.0,900.0
18753198,130467604,Entire home/apt,Noe Valley,2,0.0,8,3.0,795.0
11163409,57898551,Entire home/apt,Presidio Heights,2,0.0,8,4.0,800.0
2397858,12062895,Entire home/apt,Golden Gate Park,7,4.5,16,4.0,800.0
6836928,4486349,Entire home/apt,South of Market,7,4.5,6,3.0,875.0
6609412,12922607,Entire home/apt,Noe Valley,14,5.0,8,4.0,750.0
6784032,35515939,Entire home/apt,Noe Valley,2,0.0,8,3.0,711.0
7111861,13621935,Entire home/apt,Marina,2,0.0,6,3.0,950.0
62651,185923,Entire home/apt,Mission,39,5.0,6,3.0,850.0
7092179,2172257,Entire home/apt,Outer Mission,18,5.0,6,3.0,750.0
607913,3012612,Entire home/apt,Nob Hill,3,5.0,5,1.0,750.0
2209324,1444578,Entire home/apt,Inner Richmond,11,5.0,5,2.0,1000.0
4422501,12988140,Entire home/apt,Pacific Heights,7,5.0,6,3.0,900.0
10369097,53202725,Entire home/apt,Haight Ashbury,2,0.0,8,5.0,1000.0
12882037,16348270,Entire home/apt,Financial District,1,0.0,4,2.0,899.0
12967106,21744769,Entire home/apt,Castro/Upper Market,1,0.0,14,4.0,850.0
576018,2833313,Entire home/apt,Noe Valley,6,5.0,8,4.0,952.0
19733738,136263848,Entire home/apt,Inner Sunset,0,0.0,6,4.0,890.0
1107014,1743413,Entire home/apt,Castro/Upper Market,37,5.0,8,3.0,890.0
18413609,14757827,Entire home/apt,Western Addition,1,0.0,8,4.0,850.0
7227910,32169668,Entire home/apt,Pacific Heights,9,5.0,10,5.0,860.0
4401445,22847734,Entire home/apt,Nob Hill,22,5.0,6,3.0,800.0
17144320,56612085,Entire home/apt,Castro/Upper Market,12,4.5,14,4.0,899.0
19227636,3044795,Entire home/apt,Pacific Heights,0,0.0,7,4.0,707.0
19141653,133805434,Entire home/apt,Castro/Upper Market,0,0.0,9,5.0,915.0
1433857,7706156,Entire home/apt,Inner Richmond,0,0.0,6,3.0,600.0
4372075,11737489,Entire home/apt,Inner Richmond,0,0.0,5,3.0,685.0
16498984,72176145,Entire home/apt,Haight Ashbury,0,0.0,5,3.0,550.0
5204426,17130018,Entire home/apt,Haight Ashbury,4,5.0,8,4.0,600.0
7074753,37093318,Entire home/apt,West of Twin Peaks,2,0.0,8,4.0,607.0
2558071,3258337,Entire home/apt,Nob Hill,7,5.0,6,4.0,700.0
7983070,16688525,Entire home/apt,Presidio Heights,30,5.0,10,5.0,689.0
17780402,118412894,Entire home/apt,Western Addition,0,0.0,16,1.0,599.0
10749998,55580415,Entire home/apt,North Beach,0,0.0,2,0.0,650.0
11024353,3959116,Entire home/apt,South of Market,0,0.0,4,3.0,625.0
8418067,12791805,Entire home/apt,Western Addition,2,0.0,4,2.0,700.0
10658210,12630957,Entire home/apt,North Beach,0,0.0,8,3.0,625.0
7580383,39746913,Entire home/apt,Noe Valley,5,5.0,9,4.0,556.0
5686550,29485413,Entire home/apt,Presidio,0,0.0,3,3.0,699.0
4663132,10924383,Entire home/apt,Noe Valley,12,5.0,8,4.0,575.0
10682585,54559100,Entire home/apt,Noe Valley,0,0.0,5,2.0,700.0
6864929,35710779,Entire home/apt,Noe Valley,0,0.0,5,3.0,690.0
15853561,2028100,Entire home/apt,Mission,4,5.0,6,3.0,650.0
10886993,28424278,Entire home/apt,Marina,0,0.0,4,2.0,600.0
4093013,2343472,Entire home/apt,Western Addition,3,5.0,4,2.0,600.0
16416050,6891075,Entire home/apt,Haight Ashbury,6,5.0,11,2.0,599.0
1696666,8958907,Entire home/apt,Western Addition,108,4.5,8,4.0,650.0
19059321,13750870,Entire home/apt,Outer Richmond,0,0.0,6,3.0,525.0
4256305,22087754,Entire home/apt,Downtown/Civic Center,2,0.0,5,2.0,599.0
2887744,14757827,Entire home/apt,Western Addition,128,5.0,8,3.0,550.0
1906323,9754790,Entire home/apt,Noe Valley,15,5.0,6,4.0,650.0
19743151,56401433,Entire home/apt,Mission,0,0.0,4,2.0,554.0
7950510,4105994,Entire home/apt,Downtown/Civic Center,0,0.0,2,1.0,650.0
6370117,11611847,Entire home/apt,South of Market,0,0.0,3,2.0,600.0
8344020,1132678,Entire home/apt,Financial District,1,0.0,1,1.0,699.0
11048172,303569,Entire home/apt,Downtown/Civic Center,0,0.0,4,1.0,600.0
10968598,6824318,Entire home/apt,Russian Hill,0,0.0,4,1.0,650.0
10501461,14156518,Entire home/apt,Russian Hill,4,5.0,4,2.0,700.0
496108,2450324,Entire home/apt,Castro/Upper Market,41,5.0,6,3.0,549.0
10809412,3179892,Entire home/apt,South of Market,0,0.0,6,1.0,550.0
3630122,2544554,Entire home/apt,Noe Valley,0,0.0,6,2.0,550.0
1056688,1411704,Entire home/apt,Bernal Heights,102,5.0,1,0.0,600.0
2477787,9294456,Entire home/apt,Outer Richmond,0,0.0,8,4.0,700.0
10920346,56601918,Entire home/apt,Outer Sunset,0,0.0,4,3.0,600.0
10282315,52881797,Entire home/apt,Inner Richmond,0,0.0,7,4.0,650.0
379255,1904628,Entire home/apt,Haight Ashbury,3,5.0,8,4.0,672.0
3905190,11638709,Entire home/apt,North Beach,4,5.0,4,2.0,550.0
9476010,1577584,Entire home/apt,Noe Valley,15,5.0,8,3.0,595.0
15325569,96098402,Entire home/apt,Downtown/Civic Center,0,0.0,4,1.0,599.0
7175371,28888053,Entire home/apt,Presidio Heights,1,0.0,6,3.0,625.0
10383517,53451584,Entire home/apt,Outer Mission,0,0.0,4,2.0,700.0
286816,1492272,Entire home/apt,Mission,28,4.5,6,3.0,650.0
10236578,15490780,Entire home/apt,Haight Ashbury,0,0.0,6,2.0,650.0
18077642,863433,Entire home/apt,Pacific Heights,0,0.0,6,3.0,617.0
9462355,48972017,Entire home/apt,Western Addition,4,5.0,8,4.0,650.0
6677173,972289,Entire home/apt,Noe Valley,28,5.0,6,3.0,550.0
9759420,6548894,Entire home/apt,Mission,3,4.5,8,4.0,700.0
18331809,89127057,Entire home/apt,South of Market,3,5.0,6,2.0,680.0
11010943,11814672,Entire home/apt,Pacific Heights,0,0.0,3,3.0,650.0
10805572,9796954,Entire home/apt,Downtown/Civic Center,3,4.5,4,1.0,600.0
19066665,10139102,Entire home/apt,West of Twin Peaks,0,0.0,10,4.0,550.0
14453697,78681619,Entire home/apt,Ocean View,13,4.5,10,6.0,689.0
10590158,21531295,Entire home/apt,South of Market,3,5.0,3,1.0,650.0
15843930,65647390,Entire home/apt,Castro/Upper Market,16,5.0,10,4.0,550.0
13264260,20900027,Entire home/apt,Noe Valley,27,5.0,7,4.0,700.0
9990865,40419188,Entire home/apt,Castro/Upper Market,39,5.0,10,3.0,575.0
4037590,20871995,Entire home/apt,Nob Hill,2,0.0,6,3.0,550.0
932481,863433,Entire home/apt,Pacific Heights,5,5.0,6,3.0,700.0
6145167,29873647,Entire home/apt,Financial District,0,0.0,1,1.0,588.0
10826536,2675913,Entire home/apt,Chinatown,0,0.0,5,2.0,600.0
10199931,4943346,Entire home/apt,Pacific Heights,1,0.0,6,3.0,692.0
10791052,53622100,Entire home/apt,Russian Hill,1,0.0,6,3.0,600.0
1151109,6308697,Entire home/apt,Marina,10,5.0,6,2.0,570.0
6492391,32014859,Entire home/apt,Nob Hill,0,0.0,5,3.0,650.0
180212,863351,Entire home/apt,North Beach,8,5.0,7,4.0,650.0
2723005,9878850,Entire home/apt,Russian Hill,23,5.0,6,3.0,585.0
8598197,45249066,Entire home/apt,Marina,13,5.0,10,4.0,700.0
468490,285168,Entire home/apt,Russian Hill,13,4.5,8,4.0,588.0
219438,373342,Entire home/apt,Pacific Heights,0,0.0,4,3.0,699.0
8240368,17381794,Entire home/apt,North Beach,0,0.0,1,1.0,525.0
12041533,9545090,Entire home/apt,Castro/Upper Market,5,5.0,8,4.0,550.0
12137181,29543681,Entire home/apt,South of Market,0,0.0,4,2.0,575.0
17288739,40536296,Entire home/apt,Haight Ashbury,0,0.0,6,3.0,525.0
10860614,6493567,Entire home/apt,Inner Richmond,0,0.0,8,4.0,700.0
10570862,8115272,Entire home/apt,Castro/Upper Market,0,0.0,4,1.0,600.0
