room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,zipcode,accommodates,bedrooms,bathrooms,minimum_nights,maximum_nights,latitude,longitude,reviews,review_scores_rating,price,cleaning_fee,total,Median,Mean,Pop
17132,43185,f,Condominium,Entire home/apt,South of Market,94105,4,2.0,2.0,90,365,37.78647,-122.39072,14,96.0,450.0,250.0,700.0,112333.0,156879.0,5846.0
18231,70224,f,Apartment,Entire home/apt,Noe Valley,94114,3,0.0,1.0,30,365,37.74888,-122.42982,62,96.0,107.0,0.0,107.0,103206.0,140193.0,31124.0
18904,72464,t,Townhouse,Private room,Western Addition,94117,2,1.0,1.0,2,29,37.77252,-122.43216,397,97.0,110.0,30.0,140.0,84802.0,112291.0,39169.0
21334,81455,f,Loft,Entire home/apt,Nob Hill,94133,2,1.0,1.0,30,30,37.7958,-122.41533,119,98.0,125.0,100.0,225.0,45203.0,71909.0,22499.0
21914,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,4.0,32,90,37.7648,-122.45251,14,78.0,65.0,50.0,115.0,84802.0,112291.0,39169.0
23630,93257,t,House,Entire home/apt,Castro/Upper Market,94114,2,1.0,1.0,3,14,37.75963,-122.44143,391,97.0,155.0,60.0,215.0,103206.0,140193.0,31124.0
24450,99058,t,Apartment,Entire home/apt,Noe Valley,94114,3,1.0,1.0,3,28,37.74885,-122.43673,244,92.0,180.0,80.0,260.0,103206.0,140193.0,31124.0
24463,99128,t,Apartment,Private room,Potrero Hill,94107,2,1.0,1.0,2,29,37.75645,-122.3991,293,98.0,155.0,80.0,235.0,99924.0,135229.0,26599.0
24685,100567,t,Apartment,Private room,Haight Ashbury,94117,1,1.0,1.0,1,1125,37.77162,-122.43836,197,96.0,79.0,0.0,79.0,84802.0,112291.0,39169.0
24723,100800,t,Guest suite,Entire home/apt,Western Addition,94115,4,1.0,1.0,5,31,37.78716,-122.43386,314,96.0,195.0,20.0,215.0,76493.0,121814.0,33021.0
25094,103339,t,House,Private room,Noe Valley,94131,2,1.0,1.0,5,28,37.74188,-122.43122,39,99.0,150.0,25.0,175.0,97834.0,126303.0,26881.0
25463,72464,t,Townhouse,Private room,Western Addition,94117,2,1.0,1.0,3,29,37.77729,-122.43421,429,98.0,110.0,30.0,140.0,84802.0,112291.0,39169.0
25662,106005,t,House,Private room,Potrero Hill,94107,3,0.0,1.0,4,180,37.76212,-122.39541,313,95.0,125.0,50.0,175.0,99924.0,135229.0,26599.0
26408,111141,f,Apartment,Entire home/apt,Western Addition,94117,10,4.0,2.0,2,30,37.77478,-122.4315,33,91.0,450.0,160.0,610.0,84802.0,112291.0,39169.0
27025,115673,t,Apartment,Entire home/apt,Castro/Upper Market,94114,2,1.0,1.0,30,1125,37.76298,-122.43136,132,100.0,125.0,125.0,250.0,103206.0,140193.0,31124.0
27028,7149,t,Condominium,Private room,Mission,94110,4,1.0,1.0,1,29,37.76098,-122.42158,27,96.0,199.0,75.0,274.0,75106.0,98470.0,69333.0
29373,126263,t,House,Entire home/apt,Bernal Heights,94110,4,2.0,2.0,4,70,37.73729,-122.41163,16,97.0,220.0,140.0,360.0,75106.0,98470.0,69333.0
29557,126036,t,Apartment,Entire home/apt,Outer Richmond,94121,4,1.0,1.0,2,30,37.77931,-122.50518,58,99.0,155.0,0.0,155.0,80980.0,102378.0,41203.0
32414,140251,f,Apartment,Entire home/apt,Bernal Heights,94110,2,1.0,1.0,30,30,37.74025,-122.41259,94,96.0,150.0,0.0,150.0,75106.0,98470.0,69333.0
33578,145258,t,House,Entire home/apt,Potrero Hill,94107,2,1.0,1.0,1,14,37.76526,-122.3973,571,99.0,240.0,110.0,350.0,99924.0,135229.0,26599.0
39174,127367,t,Guest suite,Entire home/apt,Noe Valley,94110,2,1.0,1.0,30,1125,37.7483,-122.42488,20,96.0,107.0,155.0,262.0,75106.0,98470.0,69333.0
39418,169184,f,Apartment,Entire home/apt,Bernal Heights,94110,2,0.0,1.0,60,730,37.74093,-122.42055,22,98.0,94.0,65.0,159.0,75106.0,98470.0,69333.0
40092,172182,t,Apartment,Entire home/apt,Mission,94110,2,1.0,1.0,30,400,37.76016,-122.41969,97,92.0,108.0,50.0,158.0,75106.0,98470.0,69333.0
40138,172306,f,Apartment,Private room,Presidio Heights,94118,1,1.0,1.0,30,100,37.78255,-122.44844,137,96.0,67.0,35.0,102.0,75724.0,115830.0,38319.0
41055,178043,t,House,Entire home/apt,Castro/Upper Market,94114,3,1.0,1.0,4,29,37.76125,-122.43335,54,94.0,159.0,120.0,279.0,103206.0,140193.0,31124.0
41172,53314,t,House,Private room,Bernal Heights,94110,2,1.0,2.0,3,30,37.74083,-122.41763,255,98.0,127.0,50.0,177.0,75106.0,98470.0,69333.0
41399,180530,t,Apartment,Entire home/apt,Mission,94110,4,2.0,1.0,30,365,37.75611,-122.41866,79,96.0,290.0,120.0,410.0,75106.0,98470.0,69333.0
41423,180715,t,House,Entire home/apt,Glen Park,94131,3,0.0,1.0,30,90,37.73557,-122.43302,148,89.0,136.0,0.0,136.0,97834.0,126303.0,26881.0
42403,127367,t,Apartment,Entire home/apt,Bernal Heights,94110,2,0.0,1.0,30,1125,37.73356,-122.41851,6,93.0,85.0,155.0,240.0,75106.0,98470.0,69333.0
42408,127367,t,House,Entire home/apt,Bernal Heights,94110,2,1.0,1.0,30,365,37.73404,-122.41781,4,87.0,85.0,155.0,240.0,75106.0,98470.0,69333.0
42454,177664,f,Apartment,Entire home/apt,Mission,94110,2,1.0,1.5,10,28,37.75117,-122.41326,11,91.0,104.0,0.0,104.0,75106.0,98470.0,69333.0
42577,127367,t,Guest suite,Entire home/apt,Potrero Hill,94107,3,2.0,1.0,30,1125,37.75447,-122.38813,2,80.0,150.0,205.0,355.0,99924.0,135229.0,26599.0
43778,127367,t,Guest suite,Entire home/apt,Haight Ashbury,94117,2,2.0,1.0,30,1125,37.77272,-122.44084,8,56.0,110.0,244.0,354.0,84802.0,112291.0,39169.0
44032,98733,t,Apartment,Entire home/apt,Mission,94110,2,1.0,1.0,30,98,37.75145,-122.41207,283,97.0,95.0,75.0,170.0,75106.0,98470.0,69333.0
44680,196626,f,Apartment,Entire home/apt,Mission,94110,4,1.0,1.0,30,60,37.75121,-122.42165,3,100.0,175.0,120.0,295.0,75106.0,98470.0,69333.0
45299,178043,t,Guest suite,Entire home/apt,Castro/Upper Market,94114,2,0.0,1.0,3,30,37.76068,-122.43331,140,94.0,116.0,75.0,191.0,103206.0,140193.0,31124.0
45956,202591,t,House,Private room,Western Addition,94117,2,1.0,3.0,1,180,37.77248,-122.43016,147,96.0,125.0,30.0,155.0,84802.0,112291.0,39169.0
47486,215133,t,House,Entire home/apt,Ocean View,94127,2,2.0,1.0,30,365,37.72536,-122.46861,30,97.0,78.0,150.0,228.0,127575.0,154201.0,19289.0
47682,216682,t,Apartment,Entire home/apt,Pacific Heights,94109,2,1.0,1.0,30,365,37.7925,-122.42431,27,96.0,120.0,160.0,280.0,59205.0,86481.0,55984.0
51374,236023,f,Apartment,Entire home/apt,Inner Sunset,94117,4,2.0,1.0,365,365,37.76519,-122.45613,8,100.0,9999.0,80.0,10079.0,84802.0,112291.0,39169.0
51557,237200,t,Apartment,Entire home/apt,Western Addition,94117,2,1.0,1.0,30,180,37.77121,-122.42834,107,98.0,119.0,175.0,294.0,84802.0,112291.0,39169.0
51773,216682,t,Apartment,Private room,Pacific Heights,94109,1,1.0,0.0,30,730,37.79312,-122.426,162,92.0,55.0,50.0,105.0,59205.0,86481.0,55984.0
53280,126263,t,House,Private room,Bernal Heights,94110,2,1.0,1.0,3,30,37.73878,-122.41189,142,98.0,90.0,60.0,150.0,75106.0,98470.0,69333.0
53934,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,94109,4,2.0,1.0,80,365,37.78775,-122.41634,232,95.0,163.0,0.0,163.0,59205.0,86481.0,55984.0
54518,255971,t,Condominium,Entire home/apt,Financial District,94104,2,1.0,1.5,30,365,37.7933,-122.40079,18,90.0,185.0,120.0,305.0,23165.0,41734.0,406.0
54634,216682,t,Apartment,Entire home/apt,Pacific Heights,94109,2,1.0,1.0,30,730,37.79166,-122.4265,40,94.0,115.0,160.0,275.0,59205.0,86481.0,55984.0
55632,262875,t,Apartment,Entire home/apt,Outer Richmond,94121,4,1.0,1.0,30,365,37.77959,-122.48619,10,94.0,112.0,200.0,312.0,80980.0,102378.0,41203.0
55636,262875,t,Apartment,Entire home/apt,Twin Peaks,94131,4,1.0,1.0,30,365,37.74889,-122.44479,27,95.0,116.0,200.0,316.0,97834.0,126303.0,26881.0
56621,216682,t,Apartment,Private room,Pacific Heights,94109,1,1.0,0.0,30,365,37.79216,-122.42458,123,93.0,55.0,70.0,125.0,59205.0,86481.0,55984.0
56715,252376,t,Apartment,Entire home/apt,Downtown/Civic Center,94109,4,2.0,1.0,3,365,37.78816,-122.41722,88,96.0,187.0,0.0,187.0,59205.0,86481.0,55984.0
57479,210882,f,Apartment,Entire home/apt,Haight Ashbury,94117,5,2.0,2.0,90,360,37.77459,-122.43923,152,99.0,200.0,100.0,300.0,84802.0,112291.0,39169.0
57561,272890,t,Apartment,Entire home/apt,Bernal Heights,94110,2,1.0,1.0,30,90,37.7472,-122.41443,215,92.0,175.0,0.0,175.0,75106.0,98470.0,69333.0
57676,142882,f,Apartment,Private room,Mission,94110,1,1.0,1.0,30,360,37.75762,-122.41933,122,94.0,99.0,100.0,199.0,75106.0,98470.0,69333.0
59344,284917,t,Guest suite,Entire home/apt,Noe Valley,94131,2,1.0,1.0,2,15,37.74565,-122.42864,336,98.0,135.0,75.0,210.0,97834.0,126303.0,26881.0
59381,285168,f,Condominium,Private room,Russian Hill,94133,4,1.0,2.0,2,30,37.8031,-122.41596,243,96.0,109.0,40.0,149.0,45203.0,71909.0,22499.0
59702,287136,t,Cottage,Private room,Bernal Heights,94110,2,1.0,1.0,30,120,37.742090000000005,-122.41409,192,98.0,150.0,120.0,270.0,75106.0,98470.0,69333.0
59831,287859,f,House,Private room,Outer Sunset,94122,2,1.0,1.0,60,60,37.75674,-122.49178,1,20.0,100.0,200.0,300.0,77483.0,98259.0,56023.0
60365,279544,f,House,Entire home/apt,Western Addition,94117,6,3.0,2.0,4,180,37.76966,-122.43496,201,97.0,475.0,185.0,660.0,84802.0,112291.0,39169.0
62519,304426,t,Apartment,Private room,Glen Park,94131,2,1.0,1.0,2,28,37.74183,-122.42993,36,97.0,85.0,45.0,130.0,97834.0,126303.0,26881.0
62651,185923,f,House,Entire home/apt,Mission,94110,6,3.0,2.5,3,1125,37.76245,-122.42432,55,96.0,950.0,150.0,1100.0,75106.0,98470.0,69333.0
63247,290120,t,Guest suite,Entire home/apt,Mission,94110,2,1.0,1.0,2,29,37.74926,-122.41398,365,94.0,166.0,65.0,231.0,75106.0,98470.0,69333.0
64165,237691,t,Apartment,Private room,Marina,94123,2,1.0,2.0,30,150,37.80317,-122.42874,67,99.0,90.0,75.0,165.0,104750.0,150417.0,23088.0
66119,52862,f,Apartment,Entire home/apt,Inner Richmond,94121,2,0.0,1.0,30,360,37.77798,-122.47812,97,83.0,95.0,75.0,170.0,80980.0,102378.0,41203.0
66188,127367,t,Apartment,Entire home/apt,Outer Richmond,94121,6,3.0,2.0,30,1125,37.77719,-122.50906,12,96.0,216.0,205.0,421.0,80980.0,102378.0,41203.0
66664,252184,t,Apartment,Entire home/apt,Inner Sunset,94122,3,1.0,1.0,30,120,37.7571,-122.46594,44,79.0,90.0,140.0,230.0,77483.0,98259.0,56023.0
68239,337833,t,Apartment,Entire home/apt,Mission,94110,2,1.0,1.0,30,1125,37.75426,-122.42387,36,99.0,326.0,180.0,506.0,75106.0,98470.0,69333.0
69410,347624,f,House,Entire home/apt,Inner Richmond,94118,2,2.0,1.0,30,365,37.77442,-122.46319,52,98.0,80.0,100.0,180.0,75724.0,115830.0,38319.0
69549,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1125,37.73027,-122.42644,39,91.0,46.0,50.0,96.0,72442.0,87828.0,79407.0
69553,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1125,37.73128,-122.42478,27,82.0,37.0,35.0,72.0,72442.0,87828.0,79407.0
69681,127367,t,Apartment,Entire home/apt,Seacliff,94121,4,3.0,2.0,30,365,37.77707,-122.50923,7,93.0,185.0,255.0,440.0,80980.0,102378.0,41203.0
70139,354456,t,Apartment,Entire home/apt,Bernal Heights,94110,3,1.0,1.0,30,180,37.74527,-122.42424,10,98.0,108.0,0.0,108.0,75106.0,98470.0,69333.0
70284,329072,f,House,Shared room,Chinatown,94108,1,1.0,2.5,30,365,37.79364,-122.40635,15,93.0,30.0,0.0,30.0,37052.0,65418.0,13768.0
70753,329072,f,Hostel,Shared room,Financial District,94111,1,1.0,3.0,1,14,37.79447,-122.4045,388,92.0,45.0,0.0,45.0,93790.0,135954.0,3712.0
71645,367464,t,Guest suite,Private room,Bernal Heights,94110,2,1.0,1.0,3,26,37.74578,-122.40841,142,98.0,109.0,60.0,169.0,75106.0,98470.0,69333.0
71779,368770,f,Apartment,Entire home/apt,Inner Richmond,94118,2,1.0,1.0,30,365,37.77625,-122.46466,2,60.0,80.0,100.0,180.0,75724.0,115830.0,38319.0
72365,374909,f,Apartment,Entire home/apt,Western Addition,94117,8,0.0,1.0,30,365,37.77518,-122.43334,97,91.0,90.0,100.0,190.0,84802.0,112291.0,39169.0
72444,329072,f,Hostel,Shared room,Financial District,94111,2,1.0,1.0,1,14,37.79309,-122.40443,395,94.0,45.0,0.0,45.0,93790.0,135954.0,3712.0
72921,374909,f,Apartment,Entire home/apt,Western Addition,94117,6,1.0,1.0,30,365,37.77588,-122.43143,52,89.0,105.0,0.0,105.0,84802.0,112291.0,39169.0
73011,380056,f,Apartment,Entire home/apt,South of Market,94103,2,1.0,1.0,30,40,37.77026,-122.41855,30,99.0,270.0,120.0,390.0,53548.0,77236.0,27170.0
74451,374909,f,Apartment,Entire home/apt,Western Addition,94117,4,0.0,1.0,30,365,37.77388,-122.43298,19,96.0,100.0,100.0,200.0,84802.0,112291.0,39169.0
74758,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1125,37.73137,-122.42532,35,84.0,37.0,35.0,72.0,72442.0,87828.0,79407.0
75422,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1825,37.73128,-122.42473,9,100.0,40.0,35.0,75.0,72442.0,87828.0,79407.0
75423,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1825,37.73048,-122.42494,35,88.0,45.0,40.0,85.0,72442.0,87828.0,79407.0
77175,395569,t,House,Entire home/apt,Glen Park,94131,2,1.0,1.0,3,31,37.73838,-122.43375,381,98.0,135.0,50.0,185.0,97834.0,126303.0,26881.0
77932,305973,f,House,Private room,Excelsior,94112,3,1.0,1.0,30,1825,37.73134,-122.42457,23,82.0,57.0,50.0,107.0,72442.0,87828.0,79407.0
78651,142882,f,Apartment,Private room,Mission,94110,1,1.0,2.0,30,360,37.75615,-122.41927,91,95.0,75.0,100.0,175.0,75106.0,98470.0,69333.0
80394,126930,t,Apartment,Entire home/apt,Haight Ashbury,94117,2,1.0,1.0,30,90,37.77065,-122.44252,22,98.0,140.0,100.0,240.0,84802.0,112291.0,39169.0
81158,439589,t,Condominium,Entire home/apt,Western Addition,94115,4,1.0,1.0,30,330,37.78493,-122.44618,16,94.0,83.0,150.0,233.0,76493.0,121814.0,33021.0
81256,305973,f,House,Private room,Excelsior,94112,3,1.0,1.0,30,1825,37.73152,-122.42547,20,78.0,45.0,35.0,80.0,72442.0,87828.0,79407.0
83257,453743,t,House,Private room,Western Addition,94115,1,1.0,1.0,1,365,37.78528,-122.44358,93,97.0,90.0,55.0,145.0,76493.0,121814.0,33021.0
83553,127367,t,Apartment,Entire home/apt,Outer Richmond,94121,2,0.0,1.0,30,290,37.77483,-122.50952,8,97.0,85.0,155.0,240.0,80980.0,102378.0,41203.0
84777,463637,t,Guest suite,Entire home/apt,Castro/Upper Market,94114,2,1.0,1.0,5,30,37.75969,-122.44445,251,95.0,85.0,60.0,145.0,103206.0,140193.0,31124.0
87640,479857,t,Guest suite,Private room,Noe Valley,94131,2,1.0,1.0,2,21,37.7455,-122.42898,352,99.0,115.0,30.0,145.0,97834.0,126303.0,26881.0
91957,495796,f,Apartment,Entire home/apt,Haight Ashbury,94117,6,2.0,1.5,30,730,37.76194,-122.44929,95,95.0,201.0,150.0,351.0,84802.0,112291.0,39169.0
96383,216682,t,Apartment,Private room,Pacific Heights,94109,1,1.0,0.0,30,365,37.79176,-122.42476,133,94.0,59.0,70.0,129.0,59205.0,86481.0,55984.0
99094,522225,f,Apartment,Entire home/apt,Mission,94103,4,2.0,1.0,4,18,37.76809,-122.42439,380,96.0,185.0,100.0,285.0,53548.0,77236.0,27170.0
100710,528857,f,Apartment,Entire home/apt,Mission,94110,5,3.0,2.0,4,29,37.75629,-122.42518,11,100.0,450.0,0.0,450.0,75106.0,98470.0,69333.0
102951,329072,f,House,Shared room,Chinatown,94108,1,1.0,2.5,30,730,37.79297,-122.40664,6,97.0,30.0,0.0,30.0,37052.0,65418.0,13768.0
105497,547669,f,House,Private room,Outer Sunset,94122,1,1.0,1.0,45,730,37.757540000000006,-122.49852,4,80.0,85.0,85.0,170.0,77483.0,98259.0,56023.0
106025,359813,f,Apartment,Entire home/apt,Downtown/Civic Center,94109,2,2.0,2.0,30,60,37.78535,-122.41515,60,99.0,130.0,150.0,280.0,59205.0,86481.0,55984.0
109883,566147,t,Guest suite,Entire home/apt,West of Twin Peaks,94127,4,2.0,1.0,2,1125,37.733270000000005,-122.46435,359,94.0,125.0,50.0,175.0,127575.0,154201.0,19289.0
110825,568933,f,House,Entire home/apt,Bayview,94124,4,2.0,1.0,30,730,37.71549,-122.38922,9,94.0,120.0,150.0,270.0,49309.0,62866.0,33996.0
113211,576273,f,House,Shared room,Chinatown,94108,1,1.0,2.5,30,730,37.79294,-122.40659,15,95.0,30.0,0.0,30.0,37052.0,65418.0,13768.0
115242,582450,t,Condominium,Entire home/apt,North Beach,94133,4,1.0,1.0,30,30,37.80591,-122.4083,9,98.0,125.0,135.0,260.0,45203.0,71909.0,22499.0
121065,608445,f,Apartment,Entire home/apt,Western Addition,94117,2,1.0,1.0,30,365,37.77083,-122.43109,36,99.0,200.0,150.0,350.0,84802.0,112291.0,39169.0
126046,625762,f,Apartment,Entire home/apt,Haight Ashbury,94117,5,3.0,1.0,30,151,37.76813,-122.44494,82,97.0,150.0,125.0,275.0,84802.0,112291.0,39169.0
128230,634277,t,Apartment,Entire home/apt,Castro/Upper Market,94114,3,1.0,1.0,3,15,37.75887,-122.43565,151,99.0,328.0,120.0,448.0,103206.0,140193.0,31124.0
130775,21994,t,Apartment,Private room,Haight Ashbury,94117,2,1.0,4.0,32,90,37.766090000000005,-122.45126,11,87.0,65.0,50.0,115.0,84802.0,112291.0,39169.0
130805,643713,t,Apartment,Entire home/apt,Mission,94110,2,1.0,1.0,30,90,37.75586,-122.42092,86,98.0,97.0,100.0,197.0,75106.0,98470.0,69333.0
132441,650862,t,House,Private room,Bernal Heights,94110,2,1.0,1.0,1,10,37.739740000000005,-122.42298999999998,125,96.0,69.0,45.0,114.0,75106.0,98470.0,69333.0
134015,657837,f,Condominium,Entire home/apt,Marina,94123,4,2.0,1.0,4,14,37.80356,-122.42589,72,97.0,300.0,130.0,430.0,104750.0,150417.0,23088.0
134193,658666,f,House,Entire home/apt,Inner Richmond,94121,6,3.0,1.5,4,30,37.7806,-122.47597,18,94.0,550.0,200.0,750.0,80980.0,102378.0,41203.0
137129,639671,f,House,Entire home/apt,Inner Richmond,94118,10,4.0,3.5,7,28,37.7879,-122.46474,0,0.0,594.0,0.0,594.0,75724.0,115830.0,38319.0
137546,672097,t,House,Private room,Bernal Heights,94110,2,1.0,1.0,30,180,37.74708,-122.42456,233,97.0,102.0,70.0,172.0,75106.0,98470.0,69333.0
137672,673098,f,Apartment,Entire home/apt,Inner Sunset,94122,2,1.0,1.5,30,30,37.76463,-122.47435,14,96.0,150.0,35.0,185.0,77483.0,98259.0,56023.0
138592,648553,f,House,Entire home/apt,Noe Valley,94110,8,4.0,2.0,6,1125,37.755590000000005,-122.42953,27,98.0,1200.0,250.0,1450.0,75106.0,98470.0,69333.0
138619,644896,f,Apartment,Entire home/apt,North Beach,94133,3,1.0,1.0,30,30,37.79835,-122.4042,67,93.0,150.0,100.0,250.0,45203.0,71909.0,22499.0
138772,261304,f,House,Private room,Castro/Upper Market,94114,2,1.0,1.0,5,365,37.75823,-122.43273,64,99.0,150.0,50.0,200.0,103206.0,140193.0,31124.0
140568,684131,t,Apartment,Private room,Bernal Heights,94110,2,1.0,1.5,2,7,37.73874,-122.41624,151,97.0,90.0,35.0,125.0,75106.0,98470.0,69333.0
142177,656263,t,Condominium,Entire home/apt,Outer Richmond,94121,4,2.0,1.0,4,25,37.78471,-122.48125,186,98.0,399.0,150.0,549.0,80980.0,102378.0,41203.0
144978,216682,t,Apartment,Private room,Pacific Heights,94109,1,1.0,0.0,30,365,37.79336,-122.42506000000002,119,94.0,56.0,70.0,126.0,59205.0,86481.0,55984.0
147443,709325,f,Apartment,Entire home/apt,Diamond Heights,94131,4,2.0,1.5,30,90,37.74599,-122.44532,108,92.0,230.0,195.0,425.0,97834.0,126303.0,26881.0
148559,717236,f,Apartment,Entire home/apt,Castro/Upper Market,94114,6,2.0,1.0,5,21,37.76787,-122.43172,19,99.0,275.0,150.0,425.0,103206.0,140193.0,31124.0
148627,709325,f,Apartment,Entire home/apt,Marina,94123,2,1.0,1.0,60,120,37.80094,-122.4275,109,85.0,165.0,75.0,240.0,104750.0,150417.0,23088.0
148769,709325,f,Apartment,Entire home/apt,Twin Peaks,94131,2,1.0,1.0,30,30,37.75195,-122.44928,90,82.0,115.0,75.0,190.0,97834.0,126303.0,26881.0
150347,172182,t,Apartment,Entire home/apt,Mission,94110,4,2.0,1.0,30,365,37.76202,-122.41876,119,94.0,148.0,100.0,248.0,75106.0,98470.0,69333.0
150848,726513,t,Townhouse,Private room,Potrero Hill,94107,2,1.0,1.0,3,5,37.762,-122.39391,224,99.0,75.0,30.0,105.0,99924.0,135229.0,26599.0
162934,778281,t,Apartment,Entire home/apt,Outer Richmond,94121,2,1.0,1.0,1,360,37.77761,-122.50378,236,95.0,149.0,110.0,259.0,80980.0,102378.0,41203.0
164207,783438,t,House,Private room,West of Twin Peaks,94127,2,1.0,1.0,5,26,37.74159,-122.46578,355,97.0,69.0,35.0,104.0,127575.0,154201.0,19289.0
166199,792371,f,Guesthouse,Entire home/apt,Castro/Upper Market,94114,4,1.0,1.0,30,330,37.76194,-122.43238999999998,159,96.0,220.0,80.0,300.0,103206.0,140193.0,31124.0
166771,794467,t,Apartment,Entire home/apt,Haight Ashbury,94117,4,1.0,1.0,30,180,37.76827,-122.44678,155,97.0,185.0,250.0,435.0,84802.0,112291.0,39169.0
175090,127367,t,Apartment,Entire home/apt,Financial District,94104,2,0.0,1.0,30,1125,37.79018,-122.40475,24,87.0,110.0,155.0,265.0,23165.0,41734.0,406.0
175102,127367,t,Apartment,Entire home/apt,Financial District,94104,2,0.0,1.0,30,1125,37.79076,-122.40403,50,94.0,135.0,155.0,290.0,23165.0,41734.0,406.0
176274,305973,f,House,Private room,Excelsior,94112,2,1.0,1.0,30,1825,37.73143,-122.42325,10,83.0,37.0,30.0,67.0,72442.0,87828.0,79407.0
177137,817292,f,Apartment,Entire home/apt,Chinatown,94133,4,2.0,1.0,30,1125,37.79675,-122.40781,63,97.0,135.0,75.0,210.0,45203.0,71909.0,22499.0
183859,882283,t,Apartment,Entire home/apt,Glen Park,94131,4,2.0,1.0,3,28,37.73626,-122.43677,234,97.0,220.0,90.0,310.0,97834.0,126303.0,26881.0
187730,142882,f,Apartment,Private room,Mission,94110,1,1.0,2.0,29,360,37.75757,-122.41939,128,96.0,75.0,85.0,160.0,75106.0,98470.0,69333.0
189068,684131,t,Apartment,Private room,Bernal Heights,94110,2,1.0,1.5,2,7,37.73856,-122.41687,170,98.0,90.0,35.0,125.0,75106.0,98470.0,69333.0
189894,916362,t,Apartment,Entire home/apt,Marina,94123,2,1.0,1.0,5,60,37.80318,-122.42977,40,97.0,150.0,90.0,240.0,104750.0,150417.0,23088.0
